,event_id,device_id,timestamp,longitude,latitude,city,state,gender,age,group,phone_brand,device_model,year,month,month_name,day_of_week,hour
0,2765368,2.9733477869949143e+18,2016-05-07 22:52:05,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,22
194,1355198,2.9733477869949143e+18,2016-05-01 01:35:45,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,1
388,1630972,2.9733477869949143e+18,2016-05-03 00:07:34,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,0
582,2732453,2.9733477869949143e+18,2016-05-01 06:15:59,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,6
776,1562542,2.9733477869949143e+18,2016-05-01 20:34:19,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,20
970,1111821,2.9733477869949143e+18,2016-05-03 08:41:10,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,8
1164,931707,2.9733477869949143e+18,2016-05-01 16:11:14,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,16
1358,2419080,2.9733477869949143e+18,2016-05-02 08:53:36,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,8
1552,1047792,2.9733477869949143e+18,2016-05-01 01:51:28,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,1
1746,1343424,2.9733477869949143e+18,2016-05-01 17:15:27,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,17
1940,2567776,2.9733477869949143e+18,2016-05-07 22:51:31,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,22
2134,655902,2.9733477869949143e+18,2016-05-02 08:50:57,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,8
2328,3228243,2.9733477869949143e+18,2016-05-02 09:12:05,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,9
2522,2226583,2.9733477869949143e+18,2016-05-05 03:09:21,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,3
2716,58908,2.9733477869949143e+18,2016-05-03 20:59:11,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,20
2910,2096235,2.9733477869949143e+18,2016-05-01 14:54:13,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,14
3104,561705,2.9733477869949143e+18,2016-05-03 21:26:13,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,21
3298,3226901,2.9733477869949143e+18,2016-05-03 08:41:25,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,8
3492,38049,2.9733477869949143e+18,2016-05-02 09:15:32,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,9
3686,3009669,2.9733477869949143e+18,2016-05-03 20:33:08,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,20
3880,1764120,2.9733477869949143e+18,2016-05-05 05:09:21,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,5
4074,1077466,2.9733477869949143e+18,2016-05-04 00:06:36,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Wednesday,0
4268,752282,2.9733477869949143e+18,2016-05-01 20:49:08,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,20
4462,624475,2.9733477869949143e+18,2016-05-03 08:42:01,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,8
4656,388534,2.9733477869949143e+18,2016-05-01 16:16:41,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,16
4850,2557078,2.9733477869949143e+18,2016-05-01 15:01:58,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,15
5044,2083648,2.9733477869949143e+18,2016-05-06 13:57:06,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,13
5238,530796,2.9733477869949143e+18,2016-05-06 22:41:11,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,22
5432,2041592,2.9733477869949143e+18,2016-05-01 01:34:23,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,1
5626,731430,2.9733477869949143e+18,2016-05-02 10:20:00,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,10
5820,732913,2.9733477869949143e+18,2016-05-02 11:27:03,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Monday,11
6014,988198,2.9733477869949143e+18,2016-05-03 13:00:34,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,13
6208,557041,2.9733477869949143e+18,2016-05-01 18:15:17,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,18
6402,1131981,2.9733477869949143e+18,2016-05-03 00:06:46,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,0
6596,2569030,2.9733477869949143e+18,2016-05-01 00:52:45,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,0
6790,1397315,2.9733477869949143e+18,2016-05-03 20:22:26,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Tuesday,20
6984,1467816,2.9733477869949143e+18,2016-05-05 03:35:12,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,3
7178,1661927,2.9733477869949143e+18,2016-05-06 23:04:26,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Friday,23
7372,3072393,2.9733477869949143e+18,2016-05-01 18:01:20,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Sunday,18
7566,3091535,2.9733477869949143e+18,2016-05-05 08:07:38,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Thursday,8
7760,711494,2.9733477869949143e+18,2016-05-07 15:53:02,77.22567599999998,28.73014,Delhi,Delhi,M,35,M32-38,优米,UIMI3,2016,5,May,Saturday,15
